prob_range,min_prob,max_prob,trades,wins,losses,wr,pf,avg_r,expectancy
85-90%,0.85,0.9,2,2,0,1.0,0.0,1.3333333333333246,1.3333333333333246
95-100%,0.95,1.0,23,22,1,0.9565217391304348,29.333333333333467,1.2318840579710204,1.2318840579710204
