bin_start,bin_end,count,pct
-1.5,-1.0,0,0.0
-1.0,-0.5,5,6.8493150684931505
-0.5,0.0,5,6.8493150684931505
0.0,0.5,13,17.80821917808219
0.5,1.0,18,24.65753424657534
1.0,1.333,0,0.0
1.333,2.0,32,43.83561643835616
