threshold_label,threshold_prob,trades,wr,pf,avg_r,max_dd
Top 50%,0.5,25,0.96,32.000000000000114,1.2400000000000047,0.009999999999999983
Top 30%,0.7,25,0.96,32.000000000000114,1.2400000000000047,0.009999999999999983
Top 20%,0.8,25,0.96,32.000000000000114,1.2400000000000047,0.009999999999999983
Top 10%,0.9,23,0.9565217391304348,29.333333333333467,1.2318840579710204,0.01000000000000002
