subset,count,directional_accuracy,mae,rmse,mean_error,std_error,median_mae,max_error,min_error
GLOBAL,26634,48.80979199519411,5.523358268248846,10.055782345710016,2.5804770107602146,9.719230612816377,3.8309010415441413,622.6275999183957,0.00016972473338928594
OPERABLE SLICE (Conf>=4 + Risk<=MEDIUM + Whitelist),3880,52.19072164948454,2.632536102514972,3.5767021268737826,1.3833365133801692,3.2987850536042216,2.0159404366166775,25.19949388626312,0.0006915878985716173
