date,ticker,close,price_pred,price_real,price_error,price_error_pct,prob_win,y_hat,y_H3,confidence_score,confidence_level,signal_direction,tradeable,trading_signal
2020-01-13,AAPL,76.47590637207031,76.70022911099564,76.06092071533203,-0.6393083956636048,-0.8335156271025459,0.58,0.0029332472090484,-0.005426358135846,3,✓ Alta,BULLISH,True,BUY
2020-01-16,AAPL,76.06092071533203,76.09676505109385,76.65444946289062,0.557684411796771,0.7328621807015363,0.58,0.0004712582417451,0.0078033337221876,4,✅ Muy Alta,BULLISH,True,BUY
2020-01-21,AAPL,76.3818359375,76.2066102794907,76.8016357421875,0.5950254626967961,0.7808055764644525,0.56,-0.0022940749702937,0.0054960685290545,3,✓ Alta,BEARISH,True,SELL
2020-01-22,AAPL,76.65444946289062,76.67010017668221,74.54326629638672,-2.126833880295493,-2.7740069145525,0.635,0.0002041722809472,-0.0275415606177689,4,✅ Muy Alta,BULLISH,True,BUY
2020-01-23,AAPL,77.02362060546875,77.10582123945996,76.65204620361328,-0.4537750358466752,-0.5885094387846941,0.625,0.0010672133216413,-0.0048241617173353,4,✅ Muy Alta,BULLISH,True,BUY
2020-01-27,AAPL,74.54326629638672,74.22649771762732,78.14315795898438,3.91666024135705,5.276633495839749,0.57,-0.0042494593341257,0.0482926472296552,4,✅ Muy Alta,BEARISH,True,SELL
2020-01-31,AAPL,74.67837524414062,74.48870759406861,77.55927276611328,3.0705651720446667,4.1221888138775675,0.55,-0.0025397934737056,0.0385773995826013,4,✅ Muy Alta,BEARISH,True,SELL
2020-02-06,AAPL,78.46646881103516,77.82888493363612,77.2983169555664,-0.5305679780697119,-0.681710882177127,0.565,-0.0081255584335582,-0.0148872744392501,3,✓ Alta,BEARISH,True,SELL
2020-02-14,AAPL,78.58981323242188,78.22731640741382,77.46520233154297,-0.7621140758708549,-0.9742301166279395,0.575,-0.0046125166875762,-0.0143098813271508,3,✓ Alta,BEARISH,True,SELL
2020-02-20,AAPL,77.46520233154297,77.03276164347741,69.67272186279297,-7.3600397806844455,-9.554428042899643,0.56,-0.0055823863496122,-0.1005933016917582,4,✅ Muy Alta,BEARISH,True,SELL
2020-02-24,AAPL,72.11540985107422,72.08855980199881,66.15138244628906,-5.93717735570975,-8.2359494655144,0.63,-0.0003723205502243,-0.0827011510730021,4,✅ Muy Alta,BEARISH,True,SELL
2020-02-25,AAPL,69.67272186279297,67.55141399595391,66.11266326904297,-1.4387507269109392,-2.129860267613518,0.625,-0.0304467488871264,-0.0510968783559346,4,✅ Muy Alta,BEARISH,True,SELL
2020-03-05,AAPL,70.84329986572266,71.74909570644401,69.01005554199219,-2.739040164451822,-3.8175256948999015,0.755,0.012785906958572,-0.0258774552738964,5,✅ Muy Alta,BULLISH,True,BUY
2020-03-06,AAPL,69.90247344970703,70.38121551861772,66.61328887939453,-3.767926639223191,-5.353596995247224,0.605,0.0068487142912782,-0.0470539082237051,3,✓ Alta,BULLISH,True,BUY
2020-03-10,AAPL,69.01005554199219,69.46157233300441,67.22760009765625,-2.233972235348162,-3.2161267882597273,0.565,0.0065427681149665,-0.0258289234856697,3,✓ Alta,BULLISH,True,BUY
2020-03-11,AAPL,66.61328887939453,67.87379867648129,58.57896423339844,-9.294834443082848,-13.694289437646532,0.615,0.0189227978124446,-0.1206114392661574,3,✓ Alta,BULLISH,True,BUY
2020-03-12,AAPL,60.0349235534668,60.98744994223067,61.15470123291016,0.16725129067949496,0.2742388652713319,0.595,0.0158662047419042,0.0186521046944634,3,✓ Alta,BULLISH,True,BUY
2020-03-13,AAPL,67.22760009765625,70.37755873598933,59.65763473510742,-10.719924000881903,-15.232020253922224,0.69,0.0468551403554102,-0.1126020466527517,4,✅ Muy Alta,BULLISH,True,BUY
2020-03-16,AAPL,58.57896423339844,59.33096591207641,59.200531005859375,-0.13043490621703313,-0.2198428834115509,0.67,0.0128374014207854,0.0106107504732313,4,✅ Muy Alta,BULLISH,True,BUY
2020-03-17,AAPL,61.15470123291016,62.73734321204244,55.44215393066406,-7.295189281378377,-11.628145069391566,0.665,0.0258793183062856,-0.0934114170632546,4,✅ Muy Alta,BULLISH,True,BUY
2020-03-18,AAPL,59.65763473510742,61.70635933140735,54.26433563232422,-7.44202369908313,-12.060383694189657,0.71,0.0343413647791552,-0.0904041725209288,4,✅ Muy Alta,BULLISH,True,BUY
2020-03-19,AAPL,59.200531005859375,60.982345643309365,59.70842742919922,-1.2739182141101466,-2.0889951028800966,0.705,0.0300979502578049,0.0085792545220511,4,✅ Muy Alta,BULLISH,True,BUY
2020-03-20,AAPL,55.44215393066406,57.188285965013094,59.3795051574707,2.191219192457609,3.8315874579597704,0.615,0.0314946644485123,0.0710172846410457,3,✓ Alta,BULLISH,True,BUY
2020-03-23,AAPL,54.26433563232422,56.02459411626706,62.50423431396485,6.47964019769779,11.565706632788242,0.59,0.0324385890554291,0.1518474074292781,3,✓ Alta,BULLISH,True,BUY
2020-03-24,AAPL,59.70842742919922,61.116806617412216,59.91642379760742,-1.200382819804794,-1.9640797453949506,0.615,0.023587611478849,0.0034835345254209,3,✓ Alta,BULLISH,True,BUY
