week,trades,pnl_total,wr,avg_pnl
2020-11-30,1,1.081714285714284,100.0,1.081714285714284
2020-12-07,2,0.20721428571428646,50.0,0.10360714285714323
2021-01-25,2,-0.4548571428570938,50.0,-0.2274285714285469
2021-08-16,3,3.061142857142869,100.0,1.0203809523809564
2021-11-22,1,6.085714285714289,100.0,6.085714285714289
2021-11-29,2,2.6677142857142826,100.0,1.3338571428571413
2021-12-13,3,5.60371428571429,100.0,1.8679047619047633
2021-12-27,1,-4.254642857142869,0.0,-4.254642857142869
2022-02-28,5,16.2508571428572,100.0,3.25017142857144
2022-03-07,7,16.26142857142858,85.71428571428571,2.3230612244897975
2022-03-14,1,1.1820000000000022,100.0,1.1820000000000022
2022-04-04,2,3.9928571428571615,100.0,1.9964285714285808
2022-05-16,1,2.775428571428563,100.0,2.775428571428563
2022-05-30,1,6.668571428571397,100.0,6.668571428571397
2022-06-27,1,-0.9257142857142852,0.0,-0.9257142857142852
2022-07-04,1,2.756857142857143,100.0,2.756857142857143
2022-07-25,1,6.580571428571432,100.0,6.580571428571432
2022-08-22,1,2.1548571428571397,100.0,2.1548571428571397
2022-08-29,1,2.16057142857143,100.0,2.16057142857143
2022-10-03,3,8.787999999999982,100.0,2.9293333333333273
2022-10-10,2,6.694000000000003,100.0,3.3470000000000013
2022-10-17,2,6.732857142857156,100.0,3.366428571428578
2022-10-24,1,6.536000000000001,100.0,6.536000000000001
2022-10-31,4,13.037428571428634,100.0,3.2593571428571586
2022-11-07,2,5.688857142857145,100.0,2.8444285714285726
2022-11-14,1,0.8545714285714325,100.0,0.8545714285714325
2023-01-30,1,-1.9590000000000032,0.0,-1.9590000000000032
2024-02-05,1,6.069999999999993,100.0,6.069999999999993
2024-04-08,1,6.082857142857222,100.0,6.082857142857222
2024-07-08,1,5.3637142857142805,100.0,5.3637142857142805
2024-07-22,1,3.7091428571428935,100.0,3.7091428571428935
2024-07-29,1,2.304857142857145,100.0,2.304857142857145
2025-01-27,1,-5.910428571428554,0.0,-5.910428571428554
2025-03-10,1,-1.8300000000000125,0.0,-1.8300000000000125
2025-03-17,1,2.3485714285714465,100.0,2.3485714285714465
2025-08-04,3,16.32600000000005,100.0,5.442000000000017
2025-09-22,1,7.038000000000011,100.0,7.038000000000011
2025-10-06,1,9.007714285714314,100.0,9.007714285714314
2025-10-13,2,6.0274285714285725,100.0,3.0137142857142862
2025-10-27,1,13.574571428571405,100.0,13.574571428571405
2025-11-03,3,10.803357142857152,66.66666666666666,3.6011190476190507
2025-11-10,1,9.985714285714296,100.0,9.985714285714296
2025-11-17,1,2.306285714285707,100.0,2.306285714285707
2025-12-01,1,13.518000000000027,100.0,13.518000000000027
2025-12-08,3,30.891428571428378,100.0,10.297142857142793
2026-01-05,3,27.321714285714535,100.0,9.107238095238179
2026-01-12,2,4.98342857142859,100.0,2.491714285714295
2026-01-19,4,41.858857142857175,100.0,10.464714285714294
2026-01-26,2,26.797714285714278,100.0,13.398857142857139
2026-02-02,6,33.96628571428573,66.66666666666666,5.661047619047622
2026-02-09,2,18.88114285714289,50.0,9.440571428571445
