ticker,date,window,side,prob_win_intraday,entry_time,entry_price,tp_mult,sl_mult,time_stop_bars,tp_price,sl_price,atr14,ema20
AMZN,2020-07-31 00:00:00-04:00,CLOSE,BUY,0.9731958331809882,2020-07-31 14:00:00-04:00,3166.33,0.8,0.6,16,3249.4719999999998,3103.9735,103.92750000000001,3067.0279883381922
AAPL,2020-08-03 00:00:00-04:00,OPEN,BUY,0.963338398605966,2020-08-03 09:30:00-04:00,432.91,0.8,0.6,16,444.07640000000004,424.53520000000003,13.957999999999993,383.9043345108263
AAPL,2020-08-04 00:00:00-04:00,OPEN,BUY,0.8270319616107256,2020-08-04 09:30:00-04:00,436.555,0.8,0.6,16,448.6616666666667,427.475,15.133333333333335,388.7934455097952
AAPL,2020-08-10 00:00:00-04:00,CLOSE,BUY,0.7353039298855826,2020-08-10 14:00:00-04:00,449.91,0.8,0.6,16,460.85880000000003,441.69840000000005,13.686000000000002,407.34042735425066
AAPL,2020-08-12 00:00:00-04:00,OPEN,BUY,0.8891498061862692,2020-08-12 09:30:00-04:00,441.875,0.8,0.6,16,452.97133333333335,433.55275,13.870416666666666,413.983297675475
TSLA,2020-08-13 00:00:00-04:00,OPEN,BUY,0.9996147640432818,2020-08-13 09:30:00-04:00,1613.92,0.8,0.6,16,1676.7184615384617,1566.821153846154,78.49807692307694,1490.9327420563143
TSLA,2020-08-18 00:00:00-04:00,CLOSE,BUY,0.9934632367152096,2020-08-18 14:00:00-04:00,1892.0,0.8,0.6,16,1957.07,1843.1975,81.3375,1546.186156761069
TSLA,2020-08-21 00:00:00-04:00,OPEN,BUY,0.968989821488898,2020-08-21 09:30:00-04:00,2045.15,0.8,0.6,16,2118.614,1990.0520000000001,91.83,1645.380354089642
TSLA,2020-08-25 00:00:00-04:00,OPEN,BUY,0.9997534021833061,2020-08-25 09:30:00-04:00,1973.295,0.8,0.6,16,2054.6898571428574,1912.2488571428573,101.7435714285714,1715.4049383817705
AMZN,2020-08-25 00:00:00-04:00,OPEN,BUY,0.9847492169599946,2020-08-25 09:30:00-04:00,3293.145,0.8,0.6,16,3354.473857142857,3247.148357142857,76.66107142857147,3194.284970664735
AAPL,2020-08-25 00:00:00-04:00,CLOSE,BUY,0.8172162464277632,2020-08-25 14:00:00-04:00,495.01,0.8,0.6,16,505.2711428571428,487.3141428571428,12.826428571428567,449.7007212107246
TSLA,2020-08-31 00:00:00-04:00,OPEN,BUY,0.9999999823233395,2020-08-31 09:30:00-04:00,444.69,0.8,0.6,16,541.1365714285714,372.3550714285715,120.55821428571424,1863.8602510006153
WMT,2020-09-01 00:00:00-04:00,OPEN,BUY,0.9999904379909312,2020-09-01 09:30:00-04:00,140.82,0.8,0.6,16,143.27942857142855,138.97542857142855,3.0742857142857156,133.3332952891525
NVDA,2020-09-04 00:00:00-04:00,CLOSE,BUY,0.9999652407179906,2020-09-04 14:00:00-04:00,488.67,0.8,0.6,16,505.9297142857143,475.7252142857143,21.574642857142862,502.1200902227551
AMZN,2020-09-04 00:00:00-04:00,CLOSE,BUY,0.9997652746791265,2020-09-04 14:00:00-04:00,3256.5,0.8,0.6,16,3324.119142857143,3205.785642857143,84.52392857142851,3327.331776461834
WMT,2020-09-04 00:00:00-04:00,CLOSE,BUY,0.9200999376747107,2020-09-04 14:00:00-04:00,141.82,0.8,0.6,16,145.32885714285715,139.18835714285714,4.386071428571433,136.75548886602925
NVDA,2020-09-28 00:00:00-04:00,CLOSE,BUY,0.9323807537294823,2020-09-28 14:00:00-04:00,516.9,0.8,0.6,16,539.0177142857143,500.3117142857143,27.64714285714285,500.1911849426577
WMT,2020-10-01 00:00:00-04:00,OPEN,BUY,0.9966793692417519,2020-10-01 09:30:00-04:00,140.62,0.8,0.6,16,142.72714285714287,139.03964285714287,2.6339285714285716,137.36882850681758
WMT,2020-10-05 00:00:00-04:00,OPEN,BUY,0.7950383100244683,2020-10-05 09:30:00-04:00,141.43,0.8,0.6,16,143.5134285714286,139.86742857142858,2.604285714285715,138.16278251918627
AMZN,2020-10-13 00:00:00-04:00,CLOSE,BUY,0.9957819721543735,2020-10-13 14:00:00-04:00,3430.32,0.8,0.6,16,3507.092285714286,3372.7407857142857,95.96535714285707,3192.338157189221
AMZN,2020-10-15 00:00:00-04:00,CLOSE,BUY,0.9655640848587154,2020-10-15 14:00:00-04:00,3312.46,0.8,0.6,16,3386.558857142857,3256.8858571428573,92.62357142857137,3230.1623236855075
AMZN,2020-11-05 00:00:00-05:00,OPEN,BUY,0.996153169010168,2020-11-05 09:30:00-05:00,3318.68,0.8,0.6,16,3410.4682857142857,3249.8387857142857,114.73535714285708,3178.454804044195
JNJ,2020-11-10 00:00:00-05:00,CLOSE,BUY,0.7240494540194488,2020-11-10 14:00:00-05:00,147.935,0.8,0.6,16,150.3292857142857,146.13928571428573,2.992857142857137,142.66752130021797
WMT,2020-11-11 00:00:00-05:00,OPEN,BUY,0.9248936965169725,2020-11-11 09:30:00-05:00,146.86,0.8,0.6,16,148.94685714285717,145.29485714285715,2.608571428571427,142.6667700347691
WMT,2020-11-16 00:00:00-05:00,OPEN,BUY,0.9500301799693528,2020-11-16 09:30:00-05:00,150.68,0.8,0.6,16,152.9077142857143,149.00921428571428,2.784642857142856,144.30038609960926
WMT,2020-11-17 00:00:00-05:00,OPEN,BUY,0.9740490875013351,2020-11-17 09:30:00-05:00,150.5,0.8,0.6,16,152.85857142857142,148.73107142857143,2.948214285714284,145.0698731377417
WMT,2020-11-18 00:00:00-05:00,OPEN,BUY,0.94318818515754,2020-11-18 09:30:00-05:00,149.83,0.8,0.6,16,152.25257142857143,148.01307142857144,3.0282142857142844,145.4803614103377
CVX,2020-11-19 00:00:00-05:00,OPEN,BUY,0.9972554819960536,2020-11-19 09:30:00-05:00,83.22,0.8,0.6,16,86.28542857142857,80.92092857142858,3.831785714285712,78.53061206714567
WMT,2020-11-23 00:00:00-05:00,CLOSE,BUY,0.8803279268885994,2020-11-23 14:00:00-05:00,149.94,0.8,0.6,16,152.45857142857142,148.05107142857142,3.148214285714281,146.80459765829892
