tag,date,num_candidates,num_plan_trades,exposure_total,prob_win_mean,p_tp_before_sl_mean,etth_median_days,spread_mean_bps,exp_pnl_sum_pct,exp_pnl_sum_usd,notes
baseline,2025-10-15,0,1,238.0876007080078,0.6027144319247771,0.2439999999755999,0.1790769230769234,55.02166239225282,0.0025519999991947,0.607599556815104,
baseline,2025-10-16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
baseline,2025-10-17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
baseline,2025-10-18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
baseline,2025-10-22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
baseline,2025-10-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
baseline,2025-10-30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
baseline,2025-10-31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-15,0,1,238.0876007080078,0.6027144319247771,0.2439999999755999,0.1790769230769234,55.02166239225282,0.0025519999991947,0.607599556815104,
relaxed,2025-10-16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
relaxed,2025-10-31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
