timestamp,ticker,entry_time,exit_time,trade_id,open_count,open_trade_ids,open_exits
2024-03-18 09:45:00-04:00,QQQ,2024-03-18 09:45:00-04:00,2024-03-18 09:45:00-04:00,135,2,"[133, 134]","['2024-03-18 12:45:00', '2024-03-18 10:45:00']"
2024-03-21 09:30:00-04:00,GS,2024-03-21 09:30:00-04:00,2024-03-21 09:30:00-04:00,145,2,"[143, 144]","['2024-03-21 09:45:00', '2024-03-21 14:30:00']"
2024-03-26 09:45:00-04:00,CAT,2024-03-26 09:45:00-04:00,2024-03-26 09:45:00-04:00,153,2,"[151, 152]","['2024-03-26 10:15:00', '2024-03-26 10:30:00']"
2024-08-06 10:00:00-04:00,JPM,2024-08-06 10:00:00-04:00,2024-08-06 10:00:00-04:00,562,2,"[560, 561]","['2024-08-06 10:30:00', '2024-08-06 10:30:00']"
2024-08-07 09:45:00-04:00,CAT,2024-08-07 09:45:00-04:00,2024-08-07 09:45:00-04:00,568,2,"[566, 567]","['2024-08-07 10:30:00', '2024-08-07 10:15:00']"
2024-08-07 09:45:00-04:00,GS,2024-08-07 09:45:00-04:00,2024-08-07 09:45:00-04:00,569,2,"[566, 567]","['2024-08-07 10:30:00', '2024-08-07 10:15:00']"
2025-04-24 09:45:00-04:00,QQQ,2025-04-24 09:45:00-04:00,2025-04-24 09:45:00-04:00,1288,2,"[1286, 1287]","['2025-04-24 10:00:00', '2025-04-24 10:15:00']"
2025-10-29 09:45:00-04:00,JPM,2025-10-29 09:45:00-04:00,2025-10-29 09:45:00-04:00,1898,2,"[1896, 1897]","['2025-10-29 10:15:00', '2025-10-29 10:00:00']"
2025-11-04 10:00:00-05:00,GS,2025-11-04 10:00:00-05:00,2025-11-04 10:00:00-05:00,1915,2,"[1913, 1914]","['2025-11-04 10:45:00', '2025-11-04 11:15:00']"
2026-01-26 09:45:00-05:00,GS,2026-01-26 09:45:00-05:00,2026-01-26 09:45:00-05:00,2162,2,"[2160, 2161]","['2026-01-26 15:00:00', '2026-01-26 10:15:00']"
