entry_time,ticker,hour_bucket,block_reason,equity_at_entry,risk_cash,entry,sl,tp,probwin,threshold
2024-02-05 11:15:00-05:00,JPM,11:15,MISSING_FEATURES,2000.0,15.0,174.105,,,,0.55
2024-02-05 11:30:00-05:00,JPM,11:30,MISSING_FEATURES,2000.0,15.0,174.08,,,,0.55
2024-02-06 09:45:00-05:00,SPY,09:45,DAILY_STOP,1971.0399999999995,14.782799999999996,494.17,,,,0.55
2024-02-06 11:30:00-05:00,GS,11:30,DAILY_STOP,1956.909999999999,14.676824999999992,385.24,,,,0.55
2024-02-06 11:30:00-05:00,SPY,11:30,DAILY_STOP,1956.909999999999,14.676824999999992,493.315,,,,0.55
2024-02-06 15:00:00-05:00,QQQ,15:00,DAILY_STOP,1956.909999999999,14.676824999999992,427.025,,,,0.55
2024-02-06 15:15:00-05:00,GS,15:15,DAILY_STOP,1956.909999999999,14.676824999999992,384.205,,,,0.55
2024-02-06 15:15:00-05:00,QQQ,15:15,DAILY_STOP,1956.909999999999,14.676824999999992,427.325,,,,0.55
2024-02-06 16:00:00-05:00,QQQ,16:00,DAILY_STOP,1956.909999999999,14.676824999999992,427.37,,,,0.55
2024-02-06 16:00:00-05:00,SPY,16:00,DAILY_STOP,1956.909999999999,14.676824999999992,493.8,,,,0.55
2024-02-07 09:45:00-05:00,SPY,09:45,DAILY_STOP,1921.4201785714272,14.410651339285703,495.615,,,,0.55
2024-02-07 10:30:00-05:00,QQQ,10:30,PROBWIN_LOW,1964.1235714285694,14.73092678571427,432.69,,,0.5302500265603114,0.55
2024-02-07 15:00:00-05:00,SPY,15:00,PROBWIN_LOW,1971.202499999998,14.784018749999985,498.33,,,0.27743268732254855,0.55
2024-02-07 15:30:00-05:00,GS,15:30,PROBWIN_LOW,1971.202499999998,14.784018749999985,386.49,,,0.37112634086479834,0.55
2024-02-08 15:30:00-05:00,JPM,15:30,DAILY_STOP,1942.351071428569,14.567633035714266,174.87,,,,0.55
2024-02-08 15:45:00-05:00,JPM,15:45,DAILY_STOP,1942.351071428569,14.567633035714266,174.93,,,,0.55
2024-02-09 10:00:00-05:00,SPY,10:00,MAX_OPEN,1928.172857142854,14.461296428571403,499.56,,,,0.55
2024-02-09 10:15:00-05:00,GS,10:15,MAX_OPEN,1928.172857142854,14.461296428571403,384.325,,,,0.55
2024-02-09 10:45:00-05:00,QQQ,10:45,MAX_OPEN,1949.0791071428541,14.618093303571406,435.81,,,,0.55
2024-02-09 10:45:00-05:00,SPY,10:45,MAX_OPEN,1949.0791071428541,14.618093303571406,499.805,,,,0.55
2024-02-09 11:00:00-05:00,QQQ,11:00,MAX_OPEN,1949.0791071428541,14.618093303571406,435.97,,,,0.55
2024-02-09 11:00:00-05:00,SPY,11:00,MAX_OPEN,1949.0791071428541,14.618093303571406,499.97,,,,0.55
2024-02-09 11:15:00-05:00,QQQ,11:15,MAX_OPEN,1949.0791071428541,14.618093303571406,436.14,,,,0.55
2024-02-09 11:15:00-05:00,SPY,11:15,MAX_OPEN,1949.0791071428541,14.618093303571406,500.11,,,,0.55
2024-02-12 10:00:00-05:00,GS,10:00,MAX_OPEN,1970.23196428571,14.776739732142826,389.15,,,,0.55
2024-02-12 10:00:00-05:00,JPM,10:00,MAX_OPEN,1970.23196428571,14.776739732142826,175.29,,,,0.55
2024-02-12 10:30:00-05:00,GS,10:30,MAX_OPEN,1991.778392857138,14.938337946428534,390.68,,,,0.55
2024-02-12 10:45:00-05:00,CAT,10:45,PROBWIN_LOW,2013.849821428566,15.103873660714244,319.82,,,0.549690318567875,0.55
2024-02-12 10:45:00-05:00,QQQ,10:45,MAX_OPEN,2013.849821428566,15.103873660714244,437.61,,,,0.55
2024-02-12 10:45:00-05:00,SPY,10:45,MAX_OPEN,2013.849821428566,15.103873660714244,501.68,,,,0.55
2024-02-12 11:00:00-05:00,QQQ,11:00,MAX_OPEN,2058.884107142852,15.441630803571389,438.18,,,,0.55
2024-02-12 11:00:00-05:00,SPY,11:00,MAX_OPEN,2058.884107142852,15.441630803571389,502.095,,,,0.55
2024-02-12 11:15:00-05:00,JPM,11:15,MAX_OPEN,2103.651071428566,15.777383035714244,175.825,,,,0.55
2024-02-12 11:15:00-05:00,SPY,11:15,MAX_OPEN,2103.651071428566,15.777383035714244,502.175,,,,0.55
2024-02-12 11:30:00-05:00,CAT,11:30,PROBWIN_LOW,2150.6535714285656,16.129901785714242,320.77,,,0.5458578763189763,0.55
2024-02-12 11:30:00-05:00,GS,11:30,PROBWIN_LOW,2150.6535714285656,16.129901785714242,394.56,,,0.3483351385535644,0.55
2024-02-12 11:30:00-05:00,JPM,11:30,PROBWIN_LOW,2150.6535714285656,16.129901785714242,176.295,,,0.41872479395706275,0.55
2024-02-12 11:30:00-05:00,QQQ,11:30,PROBWIN_LOW,2150.6535714285656,16.129901785714242,438.49,,,0.46432784261388177,0.55
2024-02-12 11:30:00-05:00,SPY,11:30,PROBWIN_LOW,2150.6535714285656,16.129901785714242,502.91,,,0.5003854333616359,0.55
2024-02-12 15:45:00-05:00,CAT,15:45,PROBWIN_LOW,2150.6535714285656,16.129901785714242,322.21,,,0.3030129685299607,0.55
2024-02-13 10:45:00-05:00,QQQ,10:45,PROBWIN_LOW,2150.6535714285656,16.129901785714242,431.04,,,0.5349555956629689,0.55
2024-02-13 11:15:00-05:00,CAT,11:15,PROBWIN_LOW,2150.6535714285656,16.129901785714242,315.195,,,0.5317148823412182,0.55
2024-02-13 11:15:00-05:00,SPY,11:15,PROBWIN_LOW,2150.6535714285656,16.129901785714242,495.32,,,0.5222432305592664,0.55
2024-02-13 11:30:00-05:00,GS,11:30,MAX_OPEN,2150.6535714285656,16.129901785714242,380.58,,,,0.55
2024-02-13 11:30:00-05:00,SPY,11:30,MAX_OPEN,2150.6535714285656,16.129901785714242,495.55,,,,0.55
2024-02-13 15:45:00-05:00,CAT,15:45,DAILY_STOP,2119.945357142851,15.899590178571383,312.44,,,,0.55
2024-02-13 15:45:00-05:00,GS,15:45,DAILY_STOP,2119.945357142851,15.899590178571383,377.51,,,,0.55
2024-02-13 15:45:00-05:00,JPM,15:45,DAILY_STOP,2119.945357142851,15.899590178571383,173.75,,,,0.55
2024-02-13 16:00:00-05:00,QQQ,16:00,DAILY_STOP,2119.945357142851,15.899590178571383,428.54,,,,0.55
