ticker,year,hour_bucket,trades,win_rate,avg_R,PF
QQQ,2025,11:00,9,22.22222222222222,-0.34049353023380935,0.37060299320944085
QQQ,2025,11:15,3,33.33333333333333,-0.1666666666666475,0.5056583497430698
QQQ,2025,11:30,1,0.0,-1.0000000000000075,0.0
QQQ,2026,09:30,8,12.5,-0.6874999999999916,0.20197218083817384
QQQ,2026,09:45,9,44.44444444444444,0.1111111111110798,1.2114992747622577
QQQ,2026,10:00,6,66.66666666666666,0.6666666666666735,2.7804331027292712
QQQ,2026,10:15,2,100.0,0.758573178199638,inf
QQQ,2026,10:30,3,33.33333333333333,-0.16666666666666088,0.6972115625842086
QQQ,2026,10:45,1,100.0,1.4999999999999458,inf
QQQ,2026,11:00,1,100.0,1.5,inf
QQQ,2026,11:15,2,50.0,-0.204477611940315,0.5898499840408459
SPY,2024,09:30,32,40.625,0.015624999999989217,1.0603769998039374
SPY,2024,09:45,51,35.294117647058826,-0.11764705882352754,0.7746907940013475
SPY,2024,10:00,15,46.666666666666664,0.16666666666666427,1.216910485770499
SPY,2024,10:15,13,46.15384615384615,0.15384615384616124,1.1090957516033146
SPY,2024,10:30,6,0.0,-1.0000000000000389,0.0
SPY,2024,11:00,10,50.0,0.24999999999998587,1.442759170718432
SPY,2024,11:15,3,33.33333333333333,-0.1666666666666965,0.7399840714705621
SPY,2024,11:30,1,0.0,-0.9999999999999905,0.0
SPY,2025,09:30,48,43.75,0.09374999999999156,1.207977789115621
SPY,2025,09:45,39,43.58974358974359,0.08974358974358623,1.0941525678025465
SPY,2025,10:00,17,29.411764705882355,-0.2647058823529446,0.5057000283987186
SPY,2025,10:15,17,52.94117647058824,0.2842710626461387,1.4658464789796155
SPY,2025,10:30,11,45.45454545454545,0.13636363636361362,1.2404602502803326
SPY,2025,10:45,2,100.0,1.5000000000000033,inf
SPY,2025,11:00,8,37.5,-0.06250000000001749,0.8472594889955659
SPY,2025,11:15,2,0.0,-0.9999999999999847,0.0
SPY,2025,11:30,1,0.0,-1.0,0.0
SPY,2026,09:30,2,50.0,0.2499999999999537,1.4914938637323663
SPY,2026,09:45,7,57.14285714285714,0.42857142857145075,2.0573261012023667
SPY,2026,10:00,4,50.0,0.24999999999997635,1.4414562846288537
SPY,2026,10:30,2,0.0,-1.0000000000000016,0.0
SPY,2026,11:15,1,100.0,0.49824970828473225,inf
