ticker,year,hour_bucket,trades,win_rate,avg_R,PF
CAT,2024,09:30,51,33.33333333333333,-0.16666666666666854,0.7180615494310166
CAT,2024,09:45,100,42.0,0.04999999999999747,1.0743749035859325
CAT,2024,10:00,27,55.55555555555556,0.3427996686782558,1.7405582587609383
CAT,2024,10:15,18,44.44444444444444,0.11111111111111449,1.108184138873612
CAT,2024,10:30,15,46.666666666666664,0.2162586315128695,1.4043494321091876
CAT,2024,10:45,3,33.33333333333333,-0.166666666666658,0.623053775424919
CAT,2024,11:00,13,61.53846153846154,0.4600833661629985,2.2487631317595036
CAT,2024,11:15,9,66.66666666666666,0.6168108776267008,2.383910692831429
CAT,2024,11:30,7,28.57142857142857,-0.40819672131148727,0.356714138580098
CAT,2024,15:30,3,33.33333333333333,-0.16666666666667948,0.74239414861753
CAT,2025,09:30,47,46.808510638297875,0.1702127659574485,1.5281453328801342
CAT,2025,09:45,109,39.44954128440367,-0.01376146788991056,1.0006018548577214
CAT,2025,10:00,39,53.84615384615385,0.3461538461538457,1.5151834727480802
CAT,2025,10:15,28,57.14285714285714,0.4285714285714301,2.1270648213834824
CAT,2025,10:30,12,41.66666666666667,0.04166666666666485,1.0798962346094905
CAT,2025,10:45,4,25.0,-0.3749999999999989,0.3139792794244517
CAT,2025,11:00,19,68.42105263157895,0.6735856113151066,2.805628997867812
CAT,2025,11:15,14,42.857142857142854,0.07142857142856981,1.1325408826164811
CAT,2025,11:30,6,50.0,0.2500000000000062,1.440315345207461
CAT,2026,09:30,5,60.0,0.5000000000000192,2.227621986629181
CAT,2026,09:45,13,15.384615384615385,-0.6153846153846209,0.28401035586014817
CAT,2026,10:00,4,25.0,-0.3749999999999918,0.5017350418124512
CAT,2026,10:15,2,50.0,0.25000000000000167,1.416354367594393
GS,2024,09:30,48,29.166666666666668,-0.27083333333333054,0.594574501192987
GS,2024,09:45,95,43.15789473684211,0.07894736842105644,1.1214580921237027
GS,2024,10:00,29,41.37931034482759,0.03448275862069092,1.1348210536887768
GS,2024,10:15,15,66.66666666666666,0.6666666666666683,3.3427237422857896
GS,2024,10:30,11,54.54545454545454,0.36363636363636237,1.8498039745842974
GS,2024,10:45,2,50.0,0.2500000000000123,1.553323375653471
GS,2024,11:00,17,52.94117647058824,0.24012199271209558,1.4088788433912982
GS,2024,11:15,10,50.0,0.25000000000000205,1.8015315319789242
GS,2024,11:30,9,33.33333333333333,-0.16666666666666582,0.8175870038115445
GS,2024,15:30,4,75.0,1.1173076923077243,130.42857142869244
GS,2025,09:30,45,55.55555555555556,0.3888888888888893,2.2753425816342157
GS,2025,09:45,104,47.11538461538461,0.16826089854685936,1.3696493941146133
GS,2025,10:00,39,43.58974358974359,0.08974358974358947,1.2069222255760106
GS,2025,10:15,26,42.30769230769231,0.08212365999575061,1.360773363377748
GS,2025,10:30,10,50.0,0.3355102463258161,1.6101724859361488
GS,2025,10:45,8,12.5,-0.6875000000000144,0.2573249908534309
GS,2025,11:00,21,57.14285714285714,0.37513954196407456,1.5622219059618276
GS,2025,11:15,19,63.1578947368421,0.5902104479366715,2.175638448505743
GS,2025,11:30,13,46.15384615384615,0.16918544158399826,1.2420995837829627
GS,2025,15:30,4,25.0,-0.6971413160733555,0.06907840634079633
GS,2026,09:30,3,100.0,1.5000000000000082,inf
GS,2026,09:45,7,14.285714285714285,-0.6428571428571439,0.2460532295350804
GS,2026,10:15,3,33.33333333333333,-0.16666666666665866,0.7718688838091916
GS,2026,11:15,1,0.0,-1.000000000000015,0.0
GS,2026,11:30,1,0.0,-0.9999999999999823,0.0
JPM,2024,09:30,53,33.9622641509434,-0.1509433962264135,0.8172992422998783
JPM,2024,09:45,75,34.66666666666667,-0.13333333333333647,0.7687747640807469
JPM,2024,10:00,31,41.935483870967744,0.048387096774186504,1.0939270115856425
JPM,2024,10:15,15,46.666666666666664,0.1666666666666682,1.3120884610764807
