timestamp,progreso_tp,precio_actual
2025-11-25 09:23:36,18.97,25.23
2025-11-25 09:23:36,18.97,25.23
2025-11-25 09:28:36,18.97,25.23
2025-11-25 09:28:36,18.97,25.23
2025-11-25 09:33:36,18.97,25.23
2025-11-25 09:33:36,18.97,25.23
2025-11-25 09:38:36,18.97,25.23
2025-11-25 09:38:36,18.97,25.23
2025-11-25 09:43:36,18.97,25.23
2025-11-25 09:43:36,18.97,25.23
2025-11-25 09:48:36,18.97,25.23
2025-11-25 09:48:36,18.97,25.23
2025-11-25 09:53:36,18.97,25.23
2025-11-25 09:53:36,18.97,25.23
2025-11-25 09:58:36,18.97,25.23
2025-11-25 09:58:36,18.97,25.23
2025-11-25 10:03:37,18.97,25.23
2025-11-25 10:03:37,18.97,25.23
2025-11-25 10:08:37,18.97,25.23
2025-11-25 10:08:37,18.97,25.23
2025-11-25 10:13:37,18.97,25.23
2025-11-25 10:13:37,18.97,25.23
2025-11-25 10:18:37,18.97,25.23
2025-11-25 10:18:37,18.97,25.23
2025-11-25 10:23:37,18.97,25.23
2025-11-25 10:23:37,18.97,25.23
2025-11-25 10:28:37,18.97,25.23
2025-11-25 10:28:37,18.97,25.23
2025-11-25 10:33:38,18.97,25.23
2025-11-25 10:33:38,18.97,25.23
2025-11-25 10:38:38,18.97,25.23
2025-11-25 10:38:38,18.97,25.23
2025-11-25 10:43:38,18.97,25.23
2025-11-25 10:43:38,18.97,25.23
2025-11-25 10:48:38,18.97,25.23
2025-11-25 10:48:38,18.97,25.23
2025-11-25 10:53:38,18.97,25.23
2025-11-25 10:53:38,18.97,25.23
2025-11-25 10:58:38,18.97,25.23
2025-11-25 10:58:38,18.97,25.23
2025-11-25 11:03:39,18.97,25.23
2025-11-25 11:03:39,18.97,25.23
2025-11-25 11:08:39,18.97,25.23
2025-11-25 11:08:39,18.97,25.23
2025-11-25 11:13:39,18.97,25.23
2025-11-25 11:13:39,18.97,25.23
2025-11-25 11:18:39,18.97,25.23
2025-11-25 11:18:39,18.97,25.23
2025-11-25 11:23:39,18.97,25.23
2025-11-25 11:23:39,18.97,25.23
2025-11-25 11:28:39,18.97,25.23
2025-11-25 11:28:39,18.97,25.23
2025-11-25 11:33:39,18.97,25.23
2025-11-25 11:33:39,18.97,25.23
2025-11-25 11:38:39,18.97,25.23
2025-11-25 11:38:39,18.97,25.23
2025-11-25 11:43:40,18.97,25.23
2025-11-25 11:43:40,18.97,25.23
2025-11-25 11:48:40,18.97,25.23
2025-11-25 11:48:40,18.97,25.23
2025-11-25 11:53:40,18.97,25.23
2025-11-25 11:53:40,18.97,25.23
2025-11-25 11:58:40,18.97,25.23
2025-11-25 11:58:40,18.97,25.23
2025-11-25 12:03:40,18.97,25.23
2025-11-25 12:03:40,18.97,25.23
2025-11-25 12:08:40,18.97,25.23
2025-11-25 12:08:40,18.97,25.23
2025-11-25 12:13:40,18.97,25.23
2025-11-25 12:13:40,18.97,25.23
2025-11-25 12:18:40,18.97,25.23
2025-11-25 12:18:40,18.97,25.23
2025-11-25 12:23:41,18.97,25.23
2025-11-25 12:23:41,18.97,25.23
2025-11-25 12:28:41,18.97,25.23
2025-11-25 12:28:41,18.97,25.23
2025-11-25 12:33:41,18.97,25.23
2025-11-25 12:33:41,18.97,25.23
2025-11-25 12:38:41,18.97,25.23
2025-11-25 12:38:41,18.97,25.23
2025-11-25 12:43:41,18.97,25.23
2025-11-25 12:43:41,18.97,25.23
2025-11-25 12:48:41,18.97,25.23
2025-11-25 12:48:41,18.97,25.23
2025-11-25 12:53:41,18.97,25.23
2025-11-25 12:53:41,18.97,25.23
2025-11-25 12:58:41,18.97,25.23
2025-11-25 12:58:41,18.97,25.23
2025-11-25 13:03:42,18.97,25.23
2025-11-25 13:03:42,18.97,25.23
2025-11-25 13:08:42,18.97,25.23
2025-11-25 13:08:42,18.97,25.23
2025-11-25 13:13:42,18.97,25.23
2025-11-25 13:13:42,18.97,25.23
2025-11-25 13:18:42,18.97,25.23
2025-11-25 13:18:42,18.97,25.23
2025-11-25 13:23:43,18.97,25.23
2025-11-25 13:23:43,18.97,25.23
2025-11-25 13:28:43,18.97,25.23
2025-11-25 13:28:43,18.97,25.23
