ticker,signal,entry_date,entry_price,entry_confidence,exit_date,exit_price,pnl_pct,close_reason,days_held,conf_level
XOM,BUY,2025-08-22,110.31511688232422,4,2025-08-22,434.421875,293.8008563807336,TP (+1.5%),0,Muy Alta
CVX,SELL,2025-08-25,156.45266723632812,3,2025-08-25,569.6596069335938,264.1098723316105,SL (+1.0%),0,Alta
MS,BUY,2025-08-26,148.06857299804688,4,2025-08-26,501.1021423339844,238.42572545127064,TP (+1.5%),0,Muy Alta
MS,BUY,2025-08-27,148.47608947753906,5,2025-08-27,24.636192321777344,-83.40729984978206,SL (-1.0%),0,Máxima
PFE,BUY,2025-08-28,24.174325942993164,3,2025-08-28,112.36717224121094,364.82029118905024,TP (+1.5%),0,Alta
MS,BUY,2025-08-28,149.271240234375,4,2025-08-28,168.5800018310547,12.93535282909317,TP (+1.5%),0,Muy Alta
CVX,SELL,2025-08-29,158.82615661621094,3,2025-08-29,569.7395629882812,258.7189762231705,SL (+1.0%),0,Alta
PFE,BUY,2025-08-29,24.331558227539062,3,2025-08-29,505.7434387207031,1978.549322617119,TP (+1.5%),0,Alta
MS,BUY,2025-08-29,149.56942749023438,5,2025-08-29,177.1699981689453,18.45335048869731,TP (+1.5%),0,Máxima
CVX,BUY,2025-09-02,160.04257202148438,4,2025-09-02,233.2384185791016,45.73523508969306,TP (+1.5%),0,Muy Alta
PFE,BUY,2025-09-03,24.36103820800781,3,2025-09-03,233.00906372070312,856.4824853979738,TP (+1.5%),0,Alta
CVX,SELL,2025-09-03,156.314208984375,5,2025-09-03,569.409912109375,264.2726504577025,SL (+1.0%),0,Máxima
CVX,SELL,2025-09-04,155.94830322265625,5,2025-09-04,149.61912536621094,-4.058510240671734,TP (-1.5%),0,Máxima
XOM,BUY,2025-09-05,108.28289794921876,3,2025-09-05,151.9628143310547,40.33870279526543,TP (+1.5%),0,Alta
PFE,BUY,2025-09-05,24.44948005676269,3,2025-09-05,421.867919921875,1625.467858385753,TP (+1.5%),0,Alta
XOM,BUY,2025-09-08,108.89751434326172,3,2025-09-08,178.1300048828125,63.57582260447132,TP (+1.5%),0,Alta
PFE,BUY,2025-09-08,24.12519073486328,3,2025-09-08,237.64962768554688,885.0683888775217,TP (+1.5%),0,Alta
PFE,BUY,2025-09-09,24.282421112060547,3,2025-09-09,416.8922424316406,1616.847922650429,TP (+1.5%),0,Alta
XOM,BUY,2025-09-09,109.69058227539062,3,2025-09-09,155.82000732421875,42.05413454093532,TP (+1.5%),0,Alta
PFE,BUY,2025-09-11,24.429826736450195,4,2025-09-11,111.16766357421876,355.0489234880759,TP (+1.5%),0,Muy Alta
PFE,BUY,2025-09-12,23.45695877075196,3,2025-09-12,305.42510986328125,1202.0661068992033,TP (+1.5%),0,Alta
PFE,BUY,2025-09-15,23.55522727966309,3,2025-09-15,111.37583923339844,372.82854846218004,TP (+1.5%),0,Alta
