month,samples,pos_rate,auc,precision,recall
2024-03,124,0.3790322580645161,0.6112185686653772,0.46875,0.6382978723404256
2024-04,107,0.308411214953271,0.583947583947584,0.35555555555555557,0.48484848484848486
2024-05,162,0.43209876543209874,0.5701863354037267,0.45977011494252873,0.5714285714285714
2024-06,123,0.4065040650406504,0.606027397260274,0.4915254237288136,0.58
2024-07,142,0.38028169014084506,0.5627104377104377,0.46153846153846156,0.5555555555555556
2024-08,122,0.29508196721311475,0.609173126614987,0.3582089552238806,0.6666666666666666
2024-09,127,0.25196850393700787,0.5592105263157895,0.29310344827586204,0.53125
2024-10,136,0.35294117647058826,0.654592803030303,0.4647887323943662,0.6875
2024-11,138,0.391304347826087,0.6624779541446209,0.4936708860759494,0.7222222222222222
2024-12,119,0.37815126050420167,0.6192192192192192,0.46774193548387094,0.6444444444444445
2025-01,141,0.3262411347517731,0.6297482837528604,0.4225352112676056,0.6521739130434783
2025-02,119,0.3949579831932773,0.5641252955082743,0.423728813559322,0.5319148936170213
2025-03,90,0.26666666666666666,0.6300505050505051,0.3111111111111111,0.5833333333333334
2025-04,122,0.45901639344262296,0.634469696969697,0.5862068965517241,0.6071428571428571
2025-05,115,0.3565217391304348,0.7425840474620963,0.4603174603174603,0.7073170731707317
2025-06,130,0.46153846153846156,0.6002380952380953,0.5324675324675324,0.6833333333333333
2025-07,126,0.35714285714285715,0.690809327846365,0.44285714285714284,0.6888888888888889
2025-08,130,0.4,0.6254930966469427,0.48148148148148145,0.75
2025-09,156,0.33974358974358976,0.6186114673017036,0.47435897435897434,0.6981132075471698
2025-10,147,0.3673469387755102,0.5553564317005177,0.4125,0.6111111111111112
2025-11,129,0.37209302325581395,0.7147633744855967,0.5,0.7083333333333334
2025-12,134,0.3582089552238806,0.5603197674418605,0.36486486486486486,0.5625
2026-01,121,0.32231404958677684,0.5687929956222639,0.373134328358209,0.6410256410256411
2026-02,7,0.7142857142857143,0.6,0.75,0.6
