feature,coef
hour_16:00,-1.657369576967413
body_pct,0.920080229138245
hour_11:00,0.6828254790090372
hour_15:00,-0.6291871576218179
hour_15:45,-0.5964989525297624
ret4_prev,-0.5178183317687334
hour_10:00,0.5157309310947121
hour_10:15,0.42816946707179193
hour_10:30,0.41349174427644486
hour_09:30,0.3323561948546636
hour_11:15,0.32185543404726186
hour_09:45,0.2843949249315016
ret1_prev,-0.2218947238833556
vol4,-0.22054199494210713
hour_15:15,-0.17966109210299666
hour_15:30,-0.11695965694649575
ticker_JPM,-0.08046598665972403
hour_11:30,0.07931741146950651
vol_z20,-0.05209001051302111
hour_10:45,0.025652608339316034
ticker_SPY,-0.024429660093618386
atr_ratio,0.02020715219808631
ticker_CAT,0.017003040961596095
ticker_QQQ,-0.0160585680371467
ticker_GS,0.008068932754632734
