simulation,step,equity
0,0,1.0
0,1,1.0133333333333334
0,2,1.0268444444444444
0,3,1.016576
0,4,1.0301303466666665
0,5,1.0438654179555553
0,6,1.0577836235282962
0,7,1.0718874051753402
0,8,1.0861792372443446
0,9,1.1006616270742693
0,10,1.1153371154352596
0,11,1.104183744280907
0,12,1.1189061942046523
0,13,1.1338249434607144
0,14,1.148942609373524
0,15,1.1642618441651709
0,16,1.1797853354207064
0,17,1.1955158065596496
0,18,1.211456017313778
0,19,1.2276087642112952
0,20,1.2439768810674459
0,21,1.2605632394816786
0,22,1.2773707493414344
0,23,1.2944023593326537
0,24,1.3116610574570893
0,25,1.2985444468825185
0,26,1.315858372840952
0,27,1.333403151145498
0,28,1.351181859827438
0,29,1.3691976179584704
0,30,1.3874535861979167
0,31,1.4059529673472224
0,32,1.4246990069118521
0,33,1.4436949936706767
0,34,1.42925804373397
0,35,1.4483148176504226
0,36,1.4338316694739184
0,37,1.4529494250669042
0,38,1.438419930816235
0,39,1.4575988632271184
0,40,1.4770335147368134
0,41,1.4967272949333044
0,42,1.5166836588657482
0,43,1.5369061076506245
0,44,1.557398189085966
0,45,1.578163498273779
0,46,1.5992056782507633
0,47,1.5832136214682557
0,48,1.5673814852535732
0,49,1.588279905056954
0,50,1.6094569704577135
0,51,1.6309163967304832
0,52,1.6526619486868896
0,53,1.6746974413360483
0,54,1.697026740553862
0,55,1.719653763761247
0,56,1.7425824806113972
0,57,1.7251566558052833
0,58,1.7481587445493538
0,59,1.7714675278100116
0,60,1.7950870948474789
0,61,1.8190215894454453
0,62,1.8432752106380514
0,63,1.824842458531671
0,64,1.8065940339463542
0,65,1.8306819543989725
0,66,1.8550910471242918
0,67,1.879825594419283
0,68,1.904889935678207
0,69,1.9302884681539165
0,70,1.9560256477293023
0,71,1.9821059896990265
0,72,2.0085340695616805
0,73,2.035314523822503
0,74,2.0624520508068036
0,75,2.0899514114842277
0,76,2.1178174303040183
0,77,2.1460549960414053
0,78,2.174669062655291
0,79,2.203664650157362
0,80,2.233046845492794
0,81,2.2628208034326973
0,82,2.292991747478467
0,83,2.32356497077818
0,84,2.354545837055223
0,85,2.3859397815492924
0,86,2.41775231196995
0,87,2.449989009462883
0,88,2.4826555295890556
0,89,2.51575760331691
0,90,2.5493010380278016
0,91,2.583291718534839
