iteration,auc,y_train_shuffled
1,0.3636254096780413,True
2,0.49470430884904565,True
3,0.5551980913823019,True
4,0.47405774050510896,True
5,0.5781882591093117,True
6,0.29953489492963176,True
7,0.5468117408906883,True
8,0.46391218430692116,True
9,0.3973274532485059,True
10,0.4242035376903798,True
