ticker,entry_time,side,entry_price,tp_price,sl_price,exit_reason,exit_price,pnl,pnl_pct,bars_held
MSFT,2024-07-31 09:30:00-04:00,SELL,420.225,411.00014285714286,427.1436428571429,TIMEOUT,417.61,2.615000000000009,0.6222856802903228,16
AMZN,2024-08-02 09:30:00-04:00,SELL,166.725,161.70242857142856,170.49192857142856,TP,161.70242857142856,5.022571428571439,3.0124884861727033,1
CVX,2024-08-02 09:30:00-04:00,SELL,151.745,149.05357142857144,153.76357142857142,TP,149.05357142857144,2.6914285714285597,1.7736522267149228,1
AMD,2024-08-02 14:00:00-04:00,SELL,132.495,125.6047142857143,137.6627142857143,TP,125.6047142857143,6.89028571428571,5.2004118753807385,8
SPY,2024-08-02 09:30:00-04:00,SELL,535.75,529.1228571428571,540.7203571428571,TP,529.1228571428571,6.627142857142871,1.2369842010532657,4
QQQ,2024-08-05 09:30:00-04:00,SELL,424.6,415.47,431.4475000000001,SL,431.4475000000001,-6.847500000000082,-1.612694300518154,1
CAT,2024-08-06 09:30:00-04:00,SELL,313.715,305.45271428571425,319.91171428571425,SL,319.91171428571425,-6.196714285714279,-1.975268726619473,1
AMD,2024-08-06 14:00:00-04:00,SELL,132.92,125.3342857142857,138.6092857142857,TIMEOUT,133.5,-0.5800000000000125,-0.4363526933493926,16
AAPL,2024-08-07 09:30:00-04:00,SELL,206.9,201.14971428571428,211.2127142857143,SL,211.2127142857143,-4.312714285714293,-2.084443830698063,1
XOM,2024-09-11 09:30:00-04:00,SELL,110.65,108.67428571428572,112.13178571428573,TP,108.67428571428572,1.9757142857142895,1.7855529016848528,1
AAPL,2025-01-28 09:30:00-05:00,SELL,230.85,226.004,234.4845,SL,234.4845,-3.6345000000000027,-1.574398960363874,1
JPM,2025-03-04 09:30:00-05:00,SELL,257.23,252.4097142857143,260.8452142857143,TP,252.4097142857143,4.820285714285717,1.8739205047178464,1
GS,2025-03-04 09:30:00-05:00,SELL,596.625,582.8932857142858,606.9237857142857,TP,582.8932857142858,13.731714285714247,2.301565352728137,1
MS,2025-03-04 09:30:00-05:00,SELL,125.54,122.576,127.763,TP,122.576,2.964000000000013,2.3610004779353293,1
TSLA,2025-03-04 14:00:00-05:00,SELL,276.19,260.3328571428572,288.0828571428572,TIMEOUT,268.49,7.699999999999989,2.7879358412686877,16
SPY,2025-03-04 09:30:00-05:00,SELL,579.71,573.5645714285714,584.3190714285714,TP,573.5645714285714,6.145428571428624,1.060086693593111,3
GS,2025-03-20 09:30:00-04:00,SELL,552.315,535.2650000000001,565.1025000000001,SL,565.1025000000001,-12.787500000000023,-2.315254881725106,3
JPM,2025-03-20 09:30:00-04:00,SELL,236.3,230.2677142857143,240.8242142857143,SL,240.8242142857143,-4.524214285714294,-1.9146061302218762,3
GS,2025-04-02 09:30:00-04:00,SELL,541.185,527.9812857142857,551.0877857142857,SL,551.0877857142857,-9.902785714285756,-1.8298337378688907,1
MS,2025-04-02 09:30:00-04:00,SELL,113.965,110.99814285714284,116.19014285714286,SL,116.19014285714286,-2.225142857142856,-1.9524791445995318,1
AMZN,2025-04-02 09:30:00-04:00,SELL,187.8,183.0217142857143,191.3837142857143,SL,191.3837142857143,-3.5837142857142794,-1.9082610680054735,1
AMZN,2025-04-03 09:30:00-04:00,SELL,182.9,177.83428571428573,186.6992857142857,TP,177.83428571428573,5.065714285714279,2.769663360149961,4
CVX,2025-04-04 09:30:00-04:00,SELL,152.245,149.76442857142857,154.10542857142858,TP,149.76442857142857,2.4805714285714373,1.6293286666698004,1
MS,2025-04-04 09:30:00-04:00,SELL,102.87,99.25657142857143,105.58007142857144,TP,99.25657142857143,3.613428571428571,3.5126164784957425,2
GS,2025-04-04 09:30:00-04:00,SELL,487.145,471.4855714285714,498.8895714285714,TP,471.4855714285714,15.659428571428577,3.2145313143783842,3
IWM,2025-04-04 09:30:00-04:00,SELL,182.47,178.96085714285715,185.10185714285717,TP,178.96085714285715,3.509142857142848,1.9231341355526104,3
SPY,2025-04-04 09:30:00-04:00,SELL,523.64,515.5291428571428,529.7231428571429,TP,515.5291428571428,8.110857142857185,1.5489376561869195,4
AMZN,2025-04-07 09:30:00-04:00,SELL,161.84,156.01085714285713,166.21185714285716,SL,166.21185714285716,-4.371857142857152,-2.701345243979951,1
TSLA,2025-04-07 14:00:00-04:00,SELL,236.95,220.69371428571424,249.14221428571423,TIMEOUT,247.54,-10.590000000000003,-4.46929732010973,16
JNJ,2025-04-07 09:30:00-04:00,SELL,151.145,148.39157142857144,153.21007142857144,TP,148.39157142857144,2.7534285714285716,1.8217133027414547,1
SPY,2025-04-07 09:30:00-04:00,SELL,489.14,479.5242857142857,496.3517857142857,SL,496.3517857142857,-7.211785714285725,-1.4743806914760038,2
TSLA,2025-04-08 14:00:00-04:00,SELL,233.665,216.14442857142856,246.80542857142856,TIMEOUT,229.705,3.9599999999999795,1.69473391393661,16
AMZN,2025-04-08 14:00:00-04:00,SELL,175.08,168.36257142857144,180.11807142857143,TP,168.36257142857144,6.71742857142857,3.836776657201605,8
QQQ,2025-04-08 14:00:00-04:00,SELL,426.34,415.0245714285714,434.8265714285714,TP,415.0245714285714,11.315428571428583,2.654085605720454,5
AAPL,2025-04-08 14:00:00-04:00,SELL,178.2,171.70485714285712,183.07135714285712,TP,171.70485714285712,6.495142857142866,3.644861311527984,5
CAT,2025-04-08 09:30:00-04:00,SELL,289.89,281.3402857142857,296.3022857142857,TP,281.3402857142857,8.549714285714288,2.9492960383988023,7
