threshold,total_trades,valid_trades,pf,wr,pnl_total,max_dd,mean_trades_per_day,p90_trades_per_day
0.6,70,61,1.3068535737458458,54.09836065573771,58.13650000000033,-90.06235714285697,2.1875,5.0
0.62,57,49,1.2658463653872432,55.10204081632652,40.32528571428595,-70.87221428571422,1.9655172413793103,4.199999999999999
0.64,50,43,1.2471997284834162,55.81395348837209,34.38864285714309,-62.44414285714277,1.9230769230769231,3.5
0.66,42,36,1.5528811572295735,61.111111111111114,55.17750000000019,-47.20735714285706,1.826086956521739,2.8000000000000007
0.68,37,32,1.624314404717722,62.5,56.230571428571565,-37.47514285714283,1.6818181818181819,2.900000000000002
0.7,29,25,2.0476827297818776,68.0,63.960357142857326,-33.56892857142853,1.8125,4.0
0.72,22,18,1.6135289281989107,61.111111111111114,36.09035714285733,-34.685642857142824,1.4666666666666666,2.5999999999999996
